state,area_nr,area_name,total_n,germans_n,foreigner_n,for_prop,pop_move_n,pop_migr_background_n,income,unemp_n,unemp_prop,votes_total,afd_votes,afd_prop,east,east_num,state_id
Schleswig-Holstein,1,Flensburg – Schleswig,282800,266700,16100,5,3478440,28280,20265,20361,7,170396,11647,0.06835254348693631,no,0,15
Schleswig-Holstein,2,Nordfriesland – Dithmarschen Nord,232300,219700,12600,5,3066360,18584,22159,16725,7,138075,9023,0.06534854245880861,no,0,15
Schleswig-Holstein,3,Steinburg – Dithmarschen Süd,220800,209800,11000,5,2627520,20313,20896,14572,6,130875,11176,0.08539446036294174,no,0,15
Schleswig-Holstein,4,Rendsburg-Eckernförde,248700,239400,9299,3,2487000,21139,22093,12683,5,156268,11578,0.07409066475542017,no,0,15
Schleswig-Holstein,5,Kiel,268000,242900,25099,9,3189200,48240,18637,23584,8,150173,10390,0.06918687114194962,no,0,15
Schleswig-Holstein,6,Plön – Neumünster,219800,206800,13000,5,4615800,23738,20395,15166,6,130514,11161,0.08551573011324455,no,0,15
Schleswig-Holstein,7,Pinneberg,307500,281500,26000,8,4028250,46125,23766,15990,5,186372,15977,0.08572639666902754,no,0,15
Schleswig-Holstein,8,Segeberg – Stormarn-Mitte,313200,294900,18300,5,2881439,41655,22791,14407,4,191937,17166,0.08943559605495553,no,0,15
Schleswig-Holstein,9,Ostholstein – Stormarn-Nord,219300,209900,9400,4,2894760,18421,21962,13596,6,137273,11780,0.0858143990442403,no,0,15
Schleswig-Holstein,10,Herzogtum Lauenburg – Stormarn-Süd,311100,290600,20500,6,5226480,39509,23628,14932,4,191971,18791,0.09788457631621443,no,0,15
Schleswig-Holstein,11,Lübeck,235300,216500,18800,8,2870660,38824,19238,20471,8,129805,11549,0.08897191941758792,no,0,15
Mecklenburg-Vorpommern,12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,270900,254600,16299,6,7260120,12732,18008,21130,7,155412,25692,0.1653154196587136,yes,1,8
Mecklenburg-Vorpommern,13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,248800,241300,7500,3,2338720,8956,18081,17664,7,145108,25686,0.17701298343302918,yes,1,8
Mecklenburg-Vorpommern,14,Rostock – Landkreis Rostock II,271600,261200,10400,3,2688840,14938,16879,24172,8,162306,25170,0.15507744630512735,yes,1,8
Mecklenburg-Vorpommern,15,Vorpommern-Rügen – Vorpommern-Greifswald I,292300,282300,10000,3,3244530,9645,17287,34783,11,167411,32881,0.19640883812891627,yes,1,8
Mecklenburg-Vorpommern,16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,273300,264000,9300,3,2241060,9018,16955,31976,11,154807,35597,0.2299443823599708,yes,1,8
Mecklenburg-Vorpommern,17,Mecklenburgische Seenplatte II – Landkreis Rostock III,255600,249600,6000,2,2172600,6645,17802,26071,10,142477,27389,0.1922345361005636,yes,1,8
Hamburg,18,Hamburg-Mitte,350100,278400,71700,20,3921120,99078,23596,24857,7,174340,13950,0.08001606057129747,no,0,6
Hamburg,19,Hamburg-Altona,260300,222800,37500,14,2915360,73664,23596,18481,7,145076,8034,0.055377870909040776,no,0,6
Hamburg,20,Hamburg-Eimsbüttel,252900,223200,29700,11,2832480,71570,23596,17955,7,155141,9120,0.058785234077387664,no,0,6
Hamburg,21,Hamburg-Nord,279800,252900,26900,9,3133759,79183,23596,19865,7,177403,10919,0.06154912825600469,no,0,6
Hamburg,22,Hamburg-Wandsbek,314700,277200,37500,11,3524640,89060,23596,22343,7,171156,16740,0.09780551076211176,no,0,6
Hamburg,23,Hamburg-Bergedorf – Harburg,329500,270600,58899,17,3690399,93248,23596,23394,7,154154,17614,0.11426236101560777,no,0,6
Niedersachsen,24,Aurich – Emden,239900,227300,12599,5,2902790,21111,18428,18712,7,141037,12875,0.09128810170380822,no,0,9
Niedersachsen,25,Unterems,314500,285800,28699,9,4340100,42143,18302,15725,5,174953,14620,0.08356530039496322,no,0,9
Niedersachsen,26,Friesland – Wilhelmshaven – Wittmund,231100,220400,10699,4,3258509,22878,18657,18950,8,137585,12492,0.09079478140785696,no,0,9
Niedersachsen,27,Oldenburg – Ammerland,285300,266800,18500,6,4850100,39656,19758,17688,6,174668,12624,0.07227425744841642,no,0,9
Niedersachsen,28,Delmenhorst – Wesermarsch – Oldenburg-Land,294200,270400,23800,8,4795460,44424,20248,19417,6,168818,16393,0.09710457415678422,no,0,9
Niedersachsen,29,Cuxhaven – Stade II,234700,222500,12199,5,2863339,25816,20649,13612,5,140716,12652,0.08991159498564484,no,0,9
Niedersachsen,30,Stade I – Rotenburg II,252000,234400,17599,7,3250800,33012,21075,13356,5,151639,13479,0.08888874234200964,no,0,9
Niedersachsen,31,Mittelems,308200,278900,29300,9,3513480,57941,18813,11095,3,178827,9699,0.05423677632572262,no,0,9
Niedersachsen,32,Cloppenburg – Vechta,302600,275100,27500,9,3540420,71111,20024,14222,4,162519,13146,0.08088900374725416,no,0,9
Niedersachsen,33,Diepholz – Nienburg I,244700,229300,15399,6,4086490,32789,21380,11011,4,147273,12433,0.08442144860225567,no,0,9
Niedersachsen,34,Osterholz – Verden,248200,233700,14500,5,4144939,35492,22019,10920,4,151790,14671,0.09665327096646682,no,0,9
Niedersachsen,35,Rotenburg I – Heidekreis,214900,199600,15300,7,5608890,27507,19984,12249,5,126097,11669,0.09253987010000238,no,0,9
Niedersachsen,36,Harburg,248100,232300,15799,6,3299730,29027,24050,10420,4,160858,16048,0.09976501013316093,no,0,9
Niedersachsen,37,Lüchow-Dannenberg – Lüneburg,230800,216500,14300,6,4731400,27926,19347,14540,6,140138,12495,0.08916211163281908,no,0,9
Niedersachsen,38,Osnabrück-Land,265600,241800,23800,9,7171200,51526,21041,9561,3,150192,10939,0.0728334398636412,no,0,9
Niedersachsen,39,Stadt Osnabrück,254900,232400,22500,8,5735250,57607,20468,15803,6,151006,9489,0.06283856270611764,no,0,9
Niedersachsen,40,Nienburg II – Schaumburg,246100,230300,15799,6,2756319,37653,20359,14519,5,145646,14943,0.10259808027683562,no,0,9
Niedersachsen,41,Stadt Hannover I,257300,217000,40300,15,3910960,62009,20136,18525,7,133867,12227,0.09133692396184273,no,0,9
Niedersachsen,42,Stadt Hannover II,274900,230900,43999,16,4178479,66250,20136,19792,7,148090,11245,0.07593355391991356,no,0,9
Niedersachsen,43,Hannover-Land I,303000,276100,26899,8,5090400,73023,20136,21816,7,180357,18364,0.10182027866952766,no,0,9
Niedersachsen,44,Celle – Uelzen,271100,255300,15800,5,3768290,36327,19546,18977,7,160978,17549,0.10901489644547702,no,0,9
Niedersachsen,45,Gifhorn – Peine,280100,263700,16400,5,3053090,48457,20407,14565,5,167610,18288,0.10911043493824951,no,0,9
Niedersachsen,46,Hameln-Pyrmont – Holzminden,237500,220200,17300,7,2517500,37525,20459,16387,6,138650,14052,0.10134871979805266,no,0,9
Niedersachsen,47,Hannover-Land II,309300,283500,25800,8,4794150,74541,20136,22269,7,187010,19387,0.10366825303459708,no,0,9
Niedersachsen,48,Hildesheim,277100,258100,19000,6,3879400,42396,19957,18565,6,168295,15695,0.09325886092872634,no,0,9
Niedersachsen,49,Salzgitter – Wolfenbüttel,265200,243900,21299,8,4296240,48266,19830,21481,8,155710,19117,0.12277310384689487,no,0,9
Niedersachsen,50,Braunschweig,251400,227000,24400,9,3192779,53799,19803,15335,6,146548,12266,0.08369953871768977,no,0,9
Niedersachsen,51,Helmstedt – Wolfsburg,241900,218900,23000,9,3362410,52734,21065,14030,5,136010,14862,0.10927137710462466,no,0,9
Niedersachsen,52,Goslar – Northeim – Osterode,255200,238200,17000,6,3904560,31644,20180,17098,6,149522,15113,0.10107542702746085,no,0,9
Niedersachsen,53,Göttingen,286800,264200,22600,7,6539040,45314,19554,17208,6,169317,13443,0.07939545349846737,no,0,9
Bremen,54,Bremen I,352600,302900,49700,14,3949120,93439,20582,34554,9,185913,15716,0.08453416382931801,no,0,5
Bremen,55,Bremen II – Bremerhaven,318800,266500,52300,16,6503519,84163,19465,35386,11,145826,17604,0.12071921330901211,no,0,5
Brandenburg,56,Prignitz – Ostprignitz-Ruppin – Havelland I,209500,203800,5699,2,2011199,6704,17936,18645,8,118408,22185,0.1873606513073441,yes,1,4
Brandenburg,57,Uckermark – Barnim I,219900,212800,7099,3,2726760,9015,18121,22649,10,128039,26608,0.20781168237802544,yes,1,4
Brandenburg,58,Oberhavel – Havelland II,295800,287100,8699,2,5590620,15085,18806,19818,6,182563,33982,0.18613848370151673,yes,1,4
Brandenburg,59,Märkisch-Oderland – Barnim II,269300,262100,7199,2,4712750,11041,18742,18851,7,167678,34702,0.20695618984005057,yes,1,4
Brandenburg,60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,220300,213200,7100,3,3326530,10133,18930,15421,7,126138,22631,0.17941460939605827,yes,1,4
Brandenburg,61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,310500,294100,16399,5,6489450,19561,19217,18630,6,193865,26133,0.13479998968354268,yes,1,4
Brandenburg,62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,300900,290200,10699,3,5205570,14443,19225,17452,5,184910,38900,0.2103726137039641,yes,1,4
Brandenburg,63,Frankfurt (Oder) – Oder-Spree,240500,226100,14400,6,5916300,11543,18268,19721,8,137987,30475,0.22085413843333068,yes,1,4
Brandenburg,64,Cottbus – Spree-Neiße,217300,209100,8200,3,1216879,10647,18308,19122,8,130027,34902,0.2684211740638483,yes,1,4
Brandenburg,65,Elbe-Elster – Oberspreewald-Lausitz II,200900,196800,4099,2,462070,5424,17818,19286,9,121144,30564,0.2522947896717955,yes,1,4
Sachsen-Anhalt,66,Altmark,201400,194600,6800,3,1933440,5840,17755,19938,9,109864,18419,0.16765273428966723,yes,1,14
Sachsen-Anhalt,67,Börde – Jerichower Land,265200,257600,7599,2,2439839,7160,19054,19094,7,148085,27947,0.18872269304791167,yes,1,14
Sachsen-Anhalt,68,Harz,257399,248500,8899,3,3963959,7207,17779,19562,7,141530,23859,0.16857909983749028,yes,1,14
Sachsen-Anhalt,69,Magdeburg,292400,276200,16199,5,4532200,18713,16976,29240,10,160769,26053,0.16205238572112782,yes,1,14
Sachsen-Anhalt,70,Dessau – Wittenberg,211400,204400,7000,3,1331820,6764,18156,19237,9,121666,24310,0.1998093140236385,yes,1,14
Sachsen-Anhalt,71,Anhalt,268800,260700,8100,3,1962240,8870,17535,24729,9,145518,32346,0.222281779573661,yes,1,14
Sachsen-Anhalt,72,Halle,270400,253300,17099,6,5191679,17305,16697,26499,9,150299,26735,0.17787876166840763,yes,1,14
Sachsen-Anhalt,73,Burgenland – Saalekreis,231800,222700,9100,3,1668960,6954,17949,20398,8,129199,31780,0.24597713604594462,yes,1,14
Sachsen-Anhalt,74,Mansfeld,246700,239700,7000,2,1430860,6414,17920,25163,10,137927,32982,0.23912649444996267,yes,1,14
Berlin,75,Berlin-Mitte,354300,250000,104300,29,4145309,85386,18594,33304,9,149420,12319,0.08244545576228082,yes,1,3
Berlin,76,Berlin-Pankow,314000,283000,31000,9,3673799,75674,18594,29516,9,186409,23291,0.12494568395302802,yes,1,3
Berlin,77,Berlin-Reinickendorf,252100,216700,35400,14,2949569,60756,18594,23697,9,134913,18484,0.1370068117972323,yes,1,3
Berlin,78,Berlin-Spandau – Charlottenburg Nord,262400,222200,40199,15,3070079,63238,18594,24665,9,130658,18469,0.14135376325980806,yes,1,3
Berlin,79,Berlin-Steglitz-Zehlendorf,286500,258700,27800,9,3352049,69046,18594,26930,9,178717,15879,0.08884996950485964,yes,1,3
Berlin,80,Berlin-Charlottenburg-Wilmersdorf,277700,227200,50500,18,3249089,66925,18594,26103,9,156816,12418,0.07918834812774207,yes,1,3
Berlin,81,Berlin-Tempelhof-Schöneberg,333700,279200,54500,16,3904289,80421,18594,31367,9,179097,17122,0.09560182470951495,yes,1,3
Berlin,82,Berlin-Neukölln,318700,246200,72500,22,3728789,76806,18594,29957,9,140810,15666,0.11125630281940203,yes,1,3
Berlin,83,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,339800,273300,66500,19,3975660,81891,18594,31941,9,171840,10865,0.0632274208566108,yes,1,3
Berlin,84,Berlin-Treptow-Köpenick,251200,237100,14099,5,2939039,60539,18594,23612,9,155337,26259,0.16904536588192123,yes,1,3
Berlin,85,Berlin-Marzahn-Hellersdorf,256300,239400,16900,6,2998710,61768,18594,24092,9,136924,29600,0.21617831789898045,yes,1,3
Berlin,86,Berlin-Lichtenberg,273300,241400,31900,11,3197610,65865,18594,25690,9,146900,24585,0.16735874744724302,yes,1,3
Nordrhein-Westfalen,87,Aachen I,245900,207300,38599,15,2606540,60491,19652,20163,8,139784,8269,0.059155554283752076,no,0,10
Nordrhein-Westfalen,88,Aachen II,308000,274400,33600,10,4589200,75768,19652,25256,8,171601,14848,0.08652630229427567,no,0,10
Nordrhein-Westfalen,89,Heinsberg,252500,225400,27099,10,3939000,52015,18979,15150,6,140891,12312,0.08738670319608775,no,0,10
Nordrhein-Westfalen,90,Düren,262800,237400,25400,9,4651560,50194,20228,18921,7,150136,14432,0.09612617893110247,no,0,10
Nordrhein-Westfalen,91,Rhein-Erft-Kreis I,336100,297200,38900,11,5680090,73942,21542,23863,7,189879,18091,0.09527646553857984,no,0,10
Nordrhein-Westfalen,92,Euskirchen – Rhein-Erft-Kreis II,321700,293400,28300,8,5758429,59514,21000,19945,6,186199,18324,0.0984108400152525,no,0,10
Nordrhein-Westfalen,93,Köln I,291400,228800,62599,21,2943140,94122,20799,24768,8,138631,12282,0.08859490301591996,no,0,10
Nordrhein-Westfalen,94,Köln II,316900,275100,41799,13,3200689,102358,20799,26936,8,197078,9964,0.05055866205258831,no,0,10
Nordrhein-Westfalen,95,Köln III,304500,245300,59199,19,3075450,98353,20799,25882,8,149523,11731,0.0784561572467112,no,0,10
Nordrhein-Westfalen,96,Bonn,318800,272200,46600,14,4240040,98828,23005,21359,6,179207,13130,0.07326722728464848,no,0,10
Nordrhein-Westfalen,97,Rhein-Sieg-Kreis I,312800,282400,30400,9,5348880,69128,22669,16265,5,182749,18238,0.09979808371044438,no,0,10
Nordrhein-Westfalen,98,Rhein-Sieg-Kreis II,283400,258000,25399,8,5781359,62631,22669,14736,5,173161,15225,0.08792395516311409,no,0,10
Nordrhein-Westfalen,99,Oberbergischer Kreis,273500,249600,23900,8,3664900,73571,22192,15042,5,155033,16409,0.1058419820296324,no,0,10
Nordrhein-Westfalen,100,Rheinisch-Bergischer Kreis,282700,258399,24300,8,4014339,53995,24567,17810,6,172947,13814,0.07987418110750692,no,0,10
Nordrhein-Westfalen,101,Leverkusen – Köln IV,311300,257200,54100,17,3735600,100238,20442,26460,8,153667,14984,0.09750954987082458,no,0,10
Nordrhein-Westfalen,102,Wuppertal I,308600,252800,55800,18,4567280,98134,20746,29625,9,148559,16434,0.11062271555408962,no,0,10
Nordrhein-Westfalen,103,Solingen – Remscheid – Wuppertal II,309600,266100,43500,14,4024800,91951,22492,27554,8,162468,16221,0.09984119949774725,no,0,10
Nordrhein-Westfalen,104,Mettmann I,266900,239400,27499,10,3736599,65123,24519,17081,6,159165,15053,0.09457481230169949,no,0,10
Nordrhein-Westfalen,105,Mettmann II,216400,190800,25599,11,3570600,52801,24519,13849,6,124443,11926,0.09583504094243951,no,0,10
Nordrhein-Westfalen,106,Düsseldorf I,324000,263000,61000,18,3628799,106596,24128,24948,7,171910,12029,0.06997266011284975,no,0,10
Nordrhein-Westfalen,107,Düsseldorf II,288200,234600,53599,18,3227839,94817,24128,22191,7,142546,12968,0.09097414168058031,no,0,10
Nordrhein-Westfalen,108,Neuss I,295700,257700,38000,12,5854860,68011,23689,16854,5,158773,14893,0.09380058322258822,no,0,10
Nordrhein-Westfalen,109,Mönchengladbach,260000,225900,34099,13,3848000,67080,20705,25740,9,130836,12373,0.09456877312054786,no,0,10
Nordrhein-Westfalen,110,Krefeld I – Neuss II,269400,239900,29499,10,4229579,67888,22513,21013,7,154179,12104,0.07850615194027721,no,0,10
Nordrhein-Westfalen,111,Viersen,297700,271500,26199,8,3602169,50013,21988,19945,6,172016,12841,0.07465003255511116,no,0,10
Nordrhein-Westfalen,112,Kleve,310300,269100,41199,13,6609390,56784,19649,19859,6,167653,11621,0.06931578915975259,no,0,10
Nordrhein-Westfalen,113,Wesel I,263500,244300,19199,7,4268700,50065,20936,18708,7,159095,14325,0.09004054181463905,no,0,10
Nordrhein-Westfalen,114,Krefeld II – Wesel II,241800,212700,29100,12,3892980,56097,20940,21036,8,132412,12172,0.09192520315379271,no,0,10
Nordrhein-Westfalen,115,Duisburg I,243000,203700,39300,16,3353400,75815,16761,31833,13,119621,13549,0.11326606532297841,no,0,10
Nordrhein-Westfalen,116,Duisburg II,248200,200000,48199,19,3425160,77438,16761,32514,13,101888,15719,0.15427724560301506,no,0,10
Nordrhein-Westfalen,117,Oberhausen – Wesel III,278400,245100,33299,12,3145920,62361,18676,27840,10,148852,18559,0.12468089108644828,no,0,10
Nordrhein-Westfalen,118,Mülheim – Essen I,252400,221900,30500,12,4442240,60323,21940,23725,9,141660,16200,0.11435832274459974,no,0,10
Nordrhein-Westfalen,119,Essen II,246200,200500,45699,18,4530079,60318,20046,29297,11,109215,16339,0.14960399212562378,no,0,10
Nordrhein-Westfalen,120,Essen III,253300,226700,26600,10,4660720,62058,20046,30142,11,152409,12735,0.08355805759502391,no,0,10
Nordrhein-Westfalen,121,Recklinghausen I,217900,197200,20700,9,2331529,43797,19382,22879,10,122884,14776,0.12024348165749812,no,0,10
Nordrhein-Westfalen,122,Recklinghausen II,249000,224200,24800,10,3137400,50049,19382,26145,10,139515,17386,0.12461742464967925,no,0,10
Nordrhein-Westfalen,123,Gelsenkirchen,260399,216100,44299,17,3619560,76557,16135,36716,14,118066,20113,0.17035386986939507,no,0,10
Nordrhein-Westfalen,124,Steinfurt I – Borken I,272200,245200,27000,9,3565819,42463,20497,11976,4,153570,9718,0.06328058865663867,no,0,10
Nordrhein-Westfalen,125,Bottrop – Recklinghausen III,268000,242800,25199,9,3644799,57620,19296,25460,9,150528,18719,0.12435560161564625,no,0,10
Nordrhein-Westfalen,126,Borken II,260300,242400,17900,6,3383900,38264,20527,10151,3,157053,9401,0.05985877378973977,no,0,10
Nordrhein-Westfalen,127,Coesfeld – Steinfurt II,244800,231200,13600,5,2986560,29131,21996,8078,3,155826,9506,0.06100394029237739,no,0,10
Nordrhein-Westfalen,128,Steinfurt III,254100,234800,19299,7,4091010,41164,20477,12196,4,151387,10341,0.06830837522376426,no,0,10
Nordrhein-Westfalen,129,Münster,310000,280700,29300,9,7099000,63240,22127,17050,5,190122,9392,0.04939985903788094,no,0,10
Nordrhein-Westfalen,130,Warendorf,277400,252900,24499,8,4271960,58531,22079,15811,5,162139,12024,0.07415859231893622,no,0,10
Nordrhein-Westfalen,131,Gütersloh I,322100,284400,37700,11,5507910,86322,23294,15138,4,175031,15082,0.08616759316921002,no,0,10
Nordrhein-Westfalen,132,Bielefeld – Gütersloh II,344500,299900,44600,12,3617250,112651,21228,29627,8,184603,16478,0.08926182131384647,no,0,10
Nordrhein-Westfalen,133,Herford – Minden-Lübbecke II,301100,275900,25200,8,4486390,77382,22131,17162,5,167031,18097,0.10834515748573618,no,0,10
Nordrhein-Westfalen,134,Minden-Lübbecke I,264100,246500,17600,6,3908680,63119,21652,13997,5,149668,15825,0.10573402464120586,no,0,10
Nordrhein-Westfalen,135,Lippe I,221400,204200,17200,7,4760100,58006,22582,15276,6,127537,14147,0.11092467284003858,no,0,10
Nordrhein-Westfalen,136,Höxter – Lippe II,273400,254800,18599,6,3909620,59054,21226,16130,5,158102,15192,0.09608986603585028,no,0,10
Nordrhein-Westfalen,137,Paderborn – Gütersloh III,331400,303900,27500,8,5567519,93123,20240,19221,5,185897,18483,0.09942602624033739,no,0,10
Nordrhein-Westfalen,138,Hagen – Ennepe-Ruhr-Kreis I,287600,246800,40800,14,4572840,81103,21467,27034,9,148785,17622,0.11843935880633129,no,0,10
Nordrhein-Westfalen,139,Ennepe-Ruhr-Kreis II,227400,207700,19700,8,3229080,44570,24236,14781,6,136424,13190,0.09668386794112473,no,0,10
Nordrhein-Westfalen,140,Bochum I,276200,244700,31500,11,3286779,64907,19422,27343,9,155734,15189,0.09753168864859312,no,0,10
Nordrhein-Westfalen,141,Herne – Bochum II,244400,214000,30400,12,3128320,63788,18311,28105,11,126558,16994,0.13427835458841006,no,0,10
Nordrhein-Westfalen,142,Dortmund I,283800,248100,35700,12,3150180,82018,18206,32637,11,154923,15197,0.09809389180431569,no,0,10
